id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29010049,Perfect Stay,218650816,Denis,,Saint-Sauveur,46.80694,-71.23909,Entire home/apt,145,2,71,2020-02-17,2.00,1,12,0,
29027320,Entire place/apartment/Free parking & cancellation,105777160,Mosi,,Cité Universitaire,46.78705,-71.26619,Entire home/apt,250,3,0,,,8,0,0,
29093715,3 mois et plus . grand logis,219257140,Chris,,Saint-Sauveur,46.81219,-71.23931,Entire home/apt,115,90,3,2019-01-14,0.09,1,365,0,
29102277,La maison Maréchal,219333103,Marianne,,Saint-Sacrement,46.79067,-71.25387,Entire home/apt,50,30,2,2020-01-09,0.08,1,205,0,
29125855,Luxueux condo avec vue imprenable sur le fleuve,219488429,Lisa,,Chutes-Montmorency,46.87966,-71.15915,Entire home/apt,120,2,70,2021-10-08,1.91,2,0,22,
29160349,"The Kaméléon, The Grand Japandi Suite",27326825,François,,Saint-Sauveur,46.81265,-71.23162,Entire home/apt,158,1,126,2021-09-24,3.46,24,127,21,
29181722,♥ Maison luxueuse ♥ Air climatisée *billard * BAR,50286591,Nadine,,Quartier 4-2,46.87543,-71.28588,Entire home/apt,240,2,13,2020-01-03,0.83,4,37,2,
29213450,City centered modern condo with parking!,58102825,Maxime,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81626,-71.21599,Entire home/apt,200,2,2,2020-02-17,0.09,1,0,0,
29233649,superbe appartement spacieux,34543873,Marguerite,,Neufchâtel-Est/Lebourgneuf,46.85458,-71.28709,Entire home/apt,89,2,19,2021-08-12,0.55,2,256,3,
29233766,Urban Loft downtown Quebec City,150711988,Frédéric,,Saint-Roch,46.81425,-71.2232,Entire home/apt,50,2,92,2020-02-16,2.63,1,124,0,
29241335,A nice private room (Bed/TV/WiFi/Not a basement),105777160,Mosi,,Cité Universitaire,46.78487,-71.26716,Private room,141,5,7,2019-09-04,0.19,8,0,0,
29241431,Entire/Free cleaning& cancellation&parking/Netflix,105777160,Mosi,,Cité Universitaire,46.78608,-71.26708,Entire home/apt,249,6,2,2019-01-01,0.07,8,0,0,
29258937,Family apart. /Free cleaning& cancellation&parking,105777160,Mosi,,Cité Universitaire,46.78589,-71.2672,Entire home/apt,300,3,10,2019-08-10,0.27,8,0,0,
29283558,"Studio moderne, votre demeure dans la ville de QC!",98803178,Dongmei,,Neufchâtel-Est/Lebourgneuf,46.84833,-71.33333,Entire home/apt,46,1,189,2021-08-26,5.16,2,75,47,305483
29315087,Chambre à louer en plein coeur de sainte foy,107955208,Any-Claude,,Saint-Louis,46.76209,-71.31345,Private room,21,1,1,2018-11-12,0.03,1,0,0,
29333703,Joli logement dans joli quartier,220980660,Claude,,Saint-Roch,46.81109,-71.22463,Entire home/apt,115,2,0,,,1,0,0,
29365765,Full appartment (6 adults) with parking,176268109,Mélissa,,Quartier 4-5,46.85695,-71.26506,Entire home/apt,85,1,120,2019-07-04,3.30,1,0,0,
29536253,"Luxueux Condo, vue sur fleuve à couper le souffle",219488429,Lisa,,Chutes-Montmorency,46.87962,-71.1596,Entire home/apt,120,2,76,2021-09-04,2.06,2,0,20,
29674506,Former convent in Limoilou - Québec,206157337,André,,Vieux-Limoilou,46.82621,-71.22364,Entire home/apt,52,31,2,2019-11-06,0.06,17,275,0,
29761021,Chambre la MIEUX située à Québec,3065599,Alex,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80185,-71.22218,Private room,72,1,20,2021-09-06,0.58,1,86,17,
29791764,"spacious, renovated room downtown 1",3927227,Paul,,Saint-Sacrement,46.79163,-71.24898,Private room,17,30,4,2019-12-21,3.43,3,209,1,
29872568,La suite,44581067,Brigitte,,Quartier 5-4,46.8576,-71.17375,Entire home/apt,70,90,0,,,1,365,0,
29878195,Clean & Cozy apartment in Limoilou trendy sector,217218887,Vincent,,Vieux-Limoilou,46.82132,-71.22146,Entire home/apt,69,30,4,2020-02-16,0.19,5,97,0,
29898417,"Cap-Rouge, près de la nature: LA CONFORTABLE",224816658,Jocelyne,,Cap-Rouge,46.76073,-71.35047,Private room,55,1,9,2019-10-14,0.33,1,0,0,
