id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19270079,The Camp,89874444,Leonard,Kent,Dundas,46.38923,-64.61894,Entire home/apt,165,3,8,2021-10-12,0.21,5,342,4,
19333290,The Dorchester Jail BUY OUT new monthly rate,129934599,Bill,Westmorland,Dorchester,45.9006,-64.51469,Entire home/apt,695,1,3,2018-07-03,0.07,8,363,1,
19346376,Separate 3 bed home No cleaning fee Upto 6 people,132862054,Syed,Westmorland,Moncton,46.11646,-64.77626,Entire home/apt,115,1,339,2019-07-21,6.68,1,246,30,
19346805,Peaceful little haven (BASS FISHING IN OCTOBER!),135559562,Noella,Northumberland,Glenelg,47.06959,-65.24524,Entire home/apt,88,3,42,2017-07-20,0.81,1,71,9,
19475321,DOREYVILLE,136648615,Melissa,Northumberland,Chatham,47.03767,-65.46124,Entire home/apt,90,1,44,2017-08-23,1.09,1,114,0,
19495945,MyPlace Shediac 2Bdrm Suite in my home Non-Smoking,136874477,Sean,Westmorland,Shediac,46.21803,-64.52915,Private room,93,1,55,2019-08-30,1.05,1,358,9,
19501219,Old village post office,134595404,Jennifer,Kent,Richibucto,46.64629,-64.87468,Private room,65,1,41,2019-08-21,0.78,2,26,0,
19543849,Le ptit chalet jaune,29635761,Carmene,Gloucester,Shippagan,47.81302,-64.69387,Entire home/apt,125,7,11,2021-07-17,0.21,1,294,4,
19555058,Cottage,137394464,Esmond,Kent,Richibucto,46.68772,-64.86259,Entire home/apt,67,4,18,2020-11-02,0.35,1,6,1,
19574469,"SEASIDE HOME, HotTub, Sleep 2 FAMILIES COMFORTABLY",137571914,Paa,Westmorland,Shediac,46.23341,-64.56589,Entire home/apt,268,14,2,2021-09-11,0.05,1,150,1,
19621237,PRIVATE COZY QUIET APART. NOT SUITABLE QUARANTINE,135990304,Erica,Westmorland,Moncton,46.10626,-64.85139,Entire home/apt,60,1,291,2021-09-14,6.08,2,74,37,
19650249,"“Bay of fundy” spacious room/near UNB, Hospital",3049676,Christina,Saint John,City of Saint John,45.29647,-66.1054,Private room,73,1,35,2019-08-15,1.31,3,365,0,
19659997,Dominion Hill Country Inn - Curtis Suite,137824855,Michael At Dominion Hill,Charlotte,Saint Patrick,45.18401,-66.96185,Private room,133,1,47,2021-10-05,1.18,10,214,10,
19662300,Fredericton country retreat,71370522,Paul,York,Kingsclear,45.87615,-66.89212,Entire home/apt,100,1,81,2021-10-13,1.59,1,57,46,
19677331,Dominion Hill Country Inn - Van Fleet Suite,137824855,Michael At Dominion Hill,Charlotte,Saint Patrick,45.18389,-66.96185,Private room,133,1,9,2018-08-06,0.17,10,218,3,
19677658,Dominion Hill Country Inn - Van Horne Room,137824855,Michael At Dominion Hill,Charlotte,Saint Patrick,45.18358,-66.96185,Private room,114,1,25,2019-08-25,0.48,10,217,1,
19678020,Dominion Hill Country Inn - Acadian Room,137824855,Michael At Dominion Hill,Charlotte,Saint Patrick,45.18407,-66.96194,Private room,114,1,24,2021-08-26,0.47,10,137,6,
19679827,Counting sheep guest suites #2. (Adult only),12298363,Heather And Joey,Albert,Hillsborough,45.9414,-64.66541,Entire home/apt,140,2,24,2018-10-06,0.46,3,282,0,
