id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8669055,Great for weddings or events at Strathmere nearby!,45540401,Jeremy,,Rideau-Goulbourn,45.14142,-75.71651,Private room,91,1,17,2019-12-13,0.27,1,363,0,
8681684,Fake Listing - Not Available,11582199,Ryan,,Orleans,45.48153,-75.53565,Shared room,0,1,0,,,2,0,0,
8701554,Beautiful Executive Townhome Kanata,434822,Moe,,Kanata South,45.2793,-75.84517,Entire home/apt,543,5,0,,,1,364,0,
8782109,"Private, peaceful apartment near the airport",3200011,Nadereh,,Knoxdale-Merivale,45.34939,-75.71923,Entire home/apt,120,30,57,2019-08-11,1.05,1,290,0,
8860196,"Modern Bungalow in Canada,s Capital Ottawa,Ontario",46383272,Marcel,,Gloucester-South Nepean,45.27469,-75.72855,Entire home/apt,150,3,0,,,1,0,0,
8907149,Nations Capital Home Away From Home,46478423,Sue,,Rideau-Rockcliffe,45.44978,-75.62818,Private room,91,2,82,2019-08-31,1.63,1,364,5,
9078647,Elegant Downtown Condo w/ Parking,7731482,Fadi,,Rideau-Vanier,45.43853,-75.67049,Entire home/apt,95,365,91,2018-08-18,1.39,1,0,0,
9165295,"GREAT location, NEW 1 br/1 bth apt",47219726,Sonia,,Rideau-Vanier,45.43425,-75.68916,Entire home/apt,120,5,65,2020-02-16,0.94,1,316,1,
9167787,"Modern, comfy room in Ottawa's Centretown",6392708,Darren & Joseph,,Somerset,45.40589,-75.70271,Private room,52,2,48,2019-03-10,1.22,1,0,0,
9206158,Spacious Basement Suite,47751343,Randy,,Gloucester-South Nepean,45.3207,-75.60471,Private room,475,1,0,,,1,365,0,
9232463,"Exec Home: No ❄️ spa, no discounts or short stays",28652031,Patricia,,Cumberland,45.4557,-75.45924,Private room,250,3,0,,,2,344,0,
